Dataset: config loaded from config.yaml
Epoch [7/10000], Batch [1/10], Loss: 0.9993
Epoch [7/10000], Batch [2/10], Loss: 0.9346
Epoch [7/10000], Batch [3/10], Loss: 0.9563
Epoch [7/10000], Batch [4/10], Loss: 1.0146
Epoch [7/10000], Batch [5/10], Loss: 1.0144
Epoch [7/10000], Batch [6/10], Loss: 0.9711
Epoch [7/10000], Batch [7/10], Loss: 0.9459
Epoch [7/10000], Batch [8/10], Loss: 0.9210
Epoch [7/10000], Batch [9/10], Loss: 0.9492
Epoch [7/10000], Batch [10/10], Loss: 0.9757
Epoch [8/10000], Batch [1/10], Loss: 0.9976
Epoch [8/10000], Batch [2/10], Loss: 0.9308
Epoch [8/10000], Batch [3/10], Loss: 0.9529
Epoch [8/10000], Batch [4/10], Loss: 1.0115
Epoch [8/10000], Batch [5/10], Loss: 1.0118
Epoch [8/10000], Batch [6/10], Loss: 0.9682
Epoch [8/10000], Batch [7/10], Loss: 0.9431
Epoch [8/10000], Batch [8/10], Loss: 0.9760
Epoch [8/10000], Batch [9/10], Loss: 0.9977
Epoch [8/10000], Batch [10/10], Loss: 0.9475
Epoch [9/10000], Batch [1/10], Loss: 1.0239
Epoch [9/10000], Batch [2/10], Loss: 0.9873
Epoch [9/10000], Batch [3/10], Loss: 0.9671
Epoch [9/10000], Batch [4/10], Loss: 1.0214
Epoch [9/10000], Batch [5/10], Loss: 0.9717
Epoch [9/10000], Batch [6/10], Loss: 1.0167
Epoch [9/10000], Batch [7/10], Loss: 0.9409
Epoch [9/10000], Batch [8/10], Loss: 0.9763
Epoch [9/10000], Batch [9/10], Loss: 0.9955
Epoch [9/10000], Batch [10/10], Loss: 0.9417
Epoch [10/10000], Batch [1/10], Loss: 1.0214
Epoch [10/10000], Batch [2/10], Loss: 0.9863
Epoch [10/10000], Batch [3/10], Loss: 0.9643
Epoch [10/10000], Batch [4/10], Loss: 1.0207
Epoch [10/10000], Batch [5/10], Loss: 0.9707
Epoch [10/10000], Batch [6/10], Loss: 1.0135
Epoch [10/10000], Batch [7/10], Loss: 0.9367
Epoch [10/10000], Batch [8/10], Loss: 0.9766
Epoch [10/10000], Batch [9/10], Loss: 0.9937
Epoch [10/10000], Batch [10/10], Loss: 0.9390
Epoch [11/10000], Batch [1/10], Loss: 1.0201
Epoch [11/10000], Batch [2/10], Loss: 0.9834
Epoch [11/10000], Batch [3/10], Loss: 0.9618
Epoch [11/10000], Batch [4/10], Loss: 1.0173
Epoch [11/10000], Batch [5/10], Loss: 0.9690
Epoch [11/10000], Batch [6/10], Loss: 1.0106
Epoch [11/10000], Batch [7/10], Loss: 0.9348
Epoch [11/10000], Batch [8/10], Loss: 0.9711
Epoch [11/10000], Batch [9/10], Loss: 0.9915
Epoch [11/10000], Batch [10/10], Loss: 0.9360
Epoch [12/10000], Batch [1/10], Loss: 1.0181
Epoch [12/10000], Batch [2/10], Loss: 0.9822
Epoch [12/10000], Batch [3/10], Loss: 0.9593
Epoch [12/10000], Batch [4/10], Loss: 1.0156
Epoch [12/10000], Batch [5/10], Loss: 0.9669
Epoch [12/10000], Batch [6/10], Loss: 1.0092
Epoch [12/10000], Batch [7/10], Loss: 0.9240
Epoch [12/10000], Batch [8/10], Loss: 1.0056
Epoch [12/10000], Batch [9/10], Loss: 0.9670
Epoch [12/10000], Batch [10/10], Loss: 0.9767
Epoch [13/10000], Batch [1/10], Loss: 0.9081
Epoch [13/10000], Batch [2/10], Loss: 1.0051
Epoch [13/10000], Batch [3/10], Loss: 0.9702
Epoch [13/10000], Batch [4/10], Loss: 0.9279
Epoch [13/10000], Batch [5/10], Loss: 0.8686
Epoch [13/10000], Batch [6/10], Loss: 1.0481
Epoch [13/10000], Batch [7/10], Loss: 0.9053
Epoch [13/10000], Batch [8/10], Loss: 1.0175
Epoch [13/10000], Batch [9/10], Loss: 0.9647
Epoch [13/10000], Batch [10/10], Loss: 0.9750
Epoch [14/10000], Batch [1/10], Loss: 0.9068
Epoch [14/10000], Batch [2/10], Loss: 1.0217
Epoch [14/10000], Batch [3/10], Loss: 0.9642
Epoch [14/10000], Batch [4/10], Loss: 0.9073
Epoch [14/10000], Batch [5/10], Loss: 0.8667
Epoch [14/10000], Batch [6/10], Loss: 1.0411
Epoch [14/10000], Batch [7/10], Loss: 0.9079
Epoch [14/10000], Batch [8/10], Loss: 1.0164
Epoch [14/10000], Batch [9/10], Loss: 0.9672
Epoch [14/10000], Batch [10/10], Loss: 0.9737
Epoch [15/10000], Batch [1/10], Loss: 0.8869
Epoch [15/10000], Batch [2/10], Loss: 1.0013
Epoch [15/10000], Batch [3/10], Loss: 0.9629
Epoch [15/10000], Batch [4/10], Loss: 0.9105
Epoch [15/10000], Batch [5/10], Loss: 0.8727
Epoch [15/10000], Batch [6/10], Loss: 1.0375
Epoch [15/10000], Batch [7/10], Loss: 0.9034
Epoch [15/10000], Batch [8/10], Loss: 1.0083
Epoch [15/10000], Batch [9/10], Loss: 0.9646
Epoch [15/10000], Batch [10/10], Loss: 0.9736
Epoch [16/10000], Batch [1/10], Loss: 0.8893
Epoch [16/10000], Batch [2/10], Loss: 1.0026
Epoch [16/10000], Batch [3/10], Loss: 0.9595
Epoch [16/10000], Batch [4/10], Loss: 0.9000
Epoch [16/10000], Batch [5/10], Loss: 0.8649
Epoch [16/10000], Batch [6/10], Loss: 1.0351
Epoch [16/10000], Batch [7/10], Loss: 1.0030
Epoch [16/10000], Batch [8/10], Loss: 0.9626
Epoch [16/10000], Batch [9/10], Loss: 1.0224
Epoch [16/10000], Batch [10/10], Loss: 1.0277
Epoch [17/10000], Batch [1/10], Loss: 0.9431
Epoch [17/10000], Batch [2/10], Loss: 1.0113
Epoch [17/10000], Batch [3/10], Loss: 0.9742
Epoch [17/10000], Batch [4/10], Loss: 0.9603
Epoch [17/10000], Batch [5/10], Loss: 1.0493
Epoch [17/10000], Batch [6/10], Loss: 0.9450
Epoch [17/10000], Batch [7/10], Loss: 1.0058
Epoch [17/10000], Batch [8/10], Loss: 0.9736
Epoch [17/10000], Batch [9/10], Loss: 1.0321
Epoch [17/10000], Batch [10/10], Loss: 1.0324
Epoch [18/10000], Batch [1/10], Loss: 0.9546
Epoch [18/10000], Batch [2/10], Loss: 0.9951
Epoch [18/10000], Batch [3/10], Loss: 0.9701
Epoch [18/10000], Batch [4/10], Loss: 0.9518
Epoch [18/10000], Batch [5/10], Loss: 0.9927
Epoch [18/10000], Batch [6/10], Loss: 0.9515
Epoch [18/10000], Batch [7/10], Loss: 0.9930
Epoch [18/10000], Batch [8/10], Loss: 0.9644
Epoch [18/10000], Batch [9/10], Loss: 1.0243
Epoch [18/10000], Batch [10/10], Loss: 1.0260
Epoch [19/10000], Batch [1/10], Loss: 0.9401
Epoch [19/10000], Batch [2/10], Loss: 0.9754
Epoch [19/10000], Batch [3/10], Loss: 0.9702
Epoch [19/10000], Batch [4/10], Loss: 0.9458
Epoch [19/10000], Batch [5/10], Loss: 0.9759
Epoch [19/10000], Batch [6/10], Loss: 0.9287
Epoch [19/10000], Batch [7/10], Loss: 0.9962
Epoch [19/10000], Batch [8/10], Loss: 0.9589
Epoch [19/10000], Batch [9/10], Loss: 1.0189
Epoch [19/10000], Batch [10/10], Loss: 1.0237
Epoch [20/10000], Batch [1/10], Loss: 0.9362
Epoch [20/10000], Batch [2/10], Loss: 0.9718
Epoch [20/10000], Batch [3/10], Loss: 0.9639
Epoch [20/10000], Batch [4/10], Loss: 0.9374
Epoch [20/10000], Batch [5/10], Loss: 0.9737
Epoch [20/10000], Batch [6/10], Loss: 0.9253
Epoch [20/10000], Batch [7/10], Loss: 0.9495
Epoch [20/10000], Batch [8/10], Loss: 1.0232
Epoch [20/10000], Batch [9/10], Loss: 0.9858
Epoch [20/10000], Batch [10/10], Loss: 0.9813
Epoch [21/10000], Batch [1/10], Loss: 0.9731
Epoch [21/10000], Batch [2/10], Loss: 1.0117
Epoch [21/10000], Batch [3/10], Loss: 0.9916
Epoch [21/10000], Batch [4/10], Loss: 0.9310
Epoch [21/10000], Batch [5/10], Loss: 0.9943
Epoch [21/10000], Batch [6/10], Loss: 0.9436
Epoch [21/10000], Batch [7/10], Loss: 0.9464
Epoch [21/10000], Batch [8/10], Loss: 1.0216
Epoch [21/10000], Batch [9/10], Loss: 0.9841
Epoch [21/10000], Batch [10/10], Loss: 0.9791
Epoch [22/10000], Batch [1/10], Loss: 0.9710
Epoch [22/10000], Batch [2/10], Loss: 1.0100
Epoch [22/10000], Batch [3/10], Loss: 0.9897
Epoch [22/10000], Batch [4/10], Loss: 0.9269
Epoch [22/10000], Batch [5/10], Loss: 0.9913
Epoch [22/10000], Batch [6/10], Loss: 0.9408
Epoch [22/10000], Batch [7/10], Loss: 0.9442
Epoch [22/10000], Batch [8/10], Loss: 1.0200
Epoch [22/10000], Batch [9/10], Loss: 0.9823
Epoch [22/10000], Batch [10/10], Loss: 0.9773
Epoch [23/10000], Batch [1/10], Loss: 0.9700
Epoch [23/10000], Batch [2/10], Loss: 1.0084
Epoch [23/10000], Batch [3/10], Loss: 0.9883
Epoch [23/10000], Batch [4/10], Loss: 0.9240
Epoch [23/10000], Batch [5/10], Loss: 0.9901
Epoch [23/10000], Batch [6/10], Loss: 0.9389
Epoch [23/10000], Batch [7/10], Loss: 0.9414
Epoch [23/10000], Batch [8/10], Loss: 1.0187
Epoch [23/10000], Batch [9/10], Loss: 0.9809
Epoch [23/10000], Batch [10/10], Loss: 0.9759
Epoch [24/10000], Batch [1/10], Loss: 0.9689
Epoch [24/10000], Batch [2/10], Loss: 1.0073
Epoch [24/10000], Batch [3/10], Loss: 0.9871
Epoch [24/10000], Batch [4/10], Loss: 0.9220
Epoch [24/10000], Batch [5/10], Loss: 0.9889
Epoch [24/10000], Batch [6/10], Loss: 0.9373
Epoch [24/10000], Batch [7/10], Loss: 0.9305
Epoch [24/10000], Batch [8/10], Loss: 1.0028
Epoch [24/10000], Batch [9/10], Loss: 1.0260
Epoch [24/10000], Batch [10/10], Loss: 1.0150
Epoch [25/10000], Batch [1/10], Loss: 0.9825
Epoch [25/10000], Batch [2/10], Loss: 0.9784
Epoch [25/10000], Batch [3/10], Loss: 0.9357
Epoch [25/10000], Batch [4/10], Loss: 0.9720
Epoch [25/10000], Batch [5/10], Loss: 0.9724
Epoch [25/10000], Batch [6/10], Loss: 0.9492
Epoch [25/10000], Batch [7/10], Loss: 0.9208
Epoch [25/10000], Batch [8/10], Loss: 1.0025
Epoch [25/10000], Batch [9/10], Loss: 1.0250
Epoch [25/10000], Batch [10/10], Loss: 1.0137
Epoch [26/10000], Batch [1/10], Loss: 0.9806
Epoch [26/10000], Batch [2/10], Loss: 0.9783
Epoch [26/10000], Batch [3/10], Loss: 0.9340
Epoch [26/10000], Batch [4/10], Loss: 0.9707
Epoch [26/10000], Batch [5/10], Loss: 0.9701
Epoch [26/10000], Batch [6/10], Loss: 0.9445
Epoch [26/10000], Batch [7/10], Loss: 0.9229
Epoch [26/10000], Batch [8/10], Loss: 1.0010
Epoch [26/10000], Batch [9/10], Loss: 1.0242
Epoch [26/10000], Batch [10/10], Loss: 1.0123
Epoch [27/10000], Batch [1/10], Loss: 0.9804
Epoch [27/10000], Batch [2/10], Loss: 0.9756
Epoch [27/10000], Batch [3/10], Loss: 0.9327
Epoch [27/10000], Batch [4/10], Loss: 0.9691
Epoch [27/10000], Batch [5/10], Loss: 0.9687
Epoch [27/10000], Batch [6/10], Loss: 0.9426
Epoch [27/10000], Batch [7/10], Loss: 0.9208
Epoch [27/10000], Batch [8/10], Loss: 1.0000
Epoch [27/10000], Batch [9/10], Loss: 1.0230
Epoch [27/10000], Batch [10/10], Loss: 1.0116
Epoch [28/10000], Batch [1/10], Loss: 0.9784
Epoch [28/10000], Batch [2/10], Loss: 0.9742
Epoch [28/10000], Batch [3/10], Loss: 0.9312
Epoch [28/10000], Batch [4/10], Loss: 0.9689
Epoch [28/10000], Batch [5/10], Loss: 0.9681
Epoch [28/10000], Batch [6/10], Loss: 0.9409
Epoch [28/10000], Batch [7/10], Loss: 0.9237
Epoch [28/10000], Batch [8/10], Loss: 0.9819
Epoch [28/10000], Batch [9/10], Loss: 0.9416
Epoch [28/10000], Batch [10/10], Loss: 0.9799
Epoch [29/10000], Batch [1/10], Loss: 0.9648
Epoch [29/10000], Batch [2/10], Loss: 0.9512
Epoch [29/10000], Batch [3/10], Loss: 0.9524
Epoch [29/10000], Batch [4/10], Loss: 0.9780
Epoch [29/10000], Batch [5/10], Loss: 0.9784
Epoch [29/10000], Batch [6/10], Loss: 1.0148
Epoch [29/10000], Batch [7/10], Loss: 0.9349
Epoch [29/10000], Batch [8/10], Loss: 0.9883
Epoch [29/10000], Batch [9/10], Loss: 0.9458
Epoch [29/10000], Batch [10/10], Loss: 0.9796
Epoch [30/10000], Batch [1/10], Loss: 0.9660
Epoch [30/10000], Batch [2/10], Loss: 0.9546
Epoch [30/10000], Batch [3/10], Loss: 0.9443
Epoch [30/10000], Batch [4/10], Loss: 0.9776
Epoch [30/10000], Batch [5/10], Loss: 0.9775
Epoch [30/10000], Batch [6/10], Loss: 1.0138
Epoch [30/10000], Batch [7/10], Loss: 0.9247
Epoch [30/10000], Batch [8/10], Loss: 0.9861
Epoch [30/10000], Batch [9/10], Loss: 0.9449
Epoch [30/10000], Batch [10/10], Loss: 0.9793
Epoch [31/10000], Batch [1/10], Loss: 0.9655
Epoch [31/10000], Batch [2/10], Loss: 0.9520
Epoch [31/10000], Batch [3/10], Loss: 0.9458
Epoch [31/10000], Batch [4/10], Loss: 0.9705
Epoch [31/10000], Batch [5/10], Loss: 0.9761
Epoch [31/10000], Batch [6/10], Loss: 1.0128
Epoch [31/10000], Batch [7/10], Loss: 0.9210
Epoch [31/10000], Batch [8/10], Loss: 0.9837
Epoch [31/10000], Batch [9/10], Loss: 0.9425
Epoch [31/10000], Batch [10/10], Loss: 0.9796
Epoch [32/10000], Batch [1/10], Loss: 0.9650
Epoch [32/10000], Batch [2/10], Loss: 0.9512
Epoch [32/10000], Batch [3/10], Loss: 0.9403
Epoch [32/10000], Batch [4/10], Loss: 0.9671
Epoch [32/10000], Batch [5/10], Loss: 0.9750
Epoch [32/10000], Batch [6/10], Loss: 1.0114
Epoch [32/10000], Batch [7/10], Loss: 0.9112
Epoch [32/10000], Batch [8/10], Loss: 0.9647
Epoch [32/10000], Batch [9/10], Loss: 0.9326
Epoch [32/10000], Batch [10/10], Loss: 0.9451
Epoch [33/10000], Batch [1/10], Loss: 1.0142
Epoch [33/10000], Batch [2/10], Loss: 0.9616
Epoch [33/10000], Batch [3/10], Loss: 0.9919
Epoch [33/10000], Batch [4/10], Loss: 0.9414
Epoch [33/10000], Batch [5/10], Loss: 0.9088
Epoch [33/10000], Batch [6/10], Loss: 0.9096
Epoch [33/10000], Batch [7/10], Loss: 0.9075
Epoch [33/10000], Batch [8/10], Loss: 0.9644
Epoch [33/10000], Batch [9/10], Loss: 0.9341
Epoch [33/10000], Batch [10/10], Loss: 0.9471
Epoch [34/10000], Batch [1/10], Loss: 1.0143
Epoch [34/10000], Batch [2/10], Loss: 0.9599
Epoch [34/10000], Batch [3/10], Loss: 0.9905
Epoch [34/10000], Batch [4/10], Loss: 0.9408
Epoch [34/10000], Batch [5/10], Loss: 0.9070
Epoch [34/10000], Batch [6/10], Loss: 0.9041
Epoch [34/10000], Batch [7/10], Loss: 0.9052
Epoch [34/10000], Batch [8/10], Loss: 0.9613
Epoch [34/10000], Batch [9/10], Loss: 0.9302
Epoch [34/10000], Batch [10/10], Loss: 0.9453
Epoch [35/10000], Batch [1/10], Loss: 1.0138
Epoch [35/10000], Batch [2/10], Loss: 0.9590
Epoch [35/10000], Batch [3/10], Loss: 0.9881
Epoch [35/10000], Batch [4/10], Loss: 0.9390
Epoch [35/10000], Batch [5/10], Loss: 0.9030
Epoch [35/10000], Batch [6/10], Loss: 0.9048
Epoch [35/10000], Batch [7/10], Loss: 0.9049
Epoch [35/10000], Batch [8/10], Loss: 0.9604
Epoch [35/10000], Batch [9/10], Loss: 0.9295
Epoch [35/10000], Batch [10/10], Loss: 0.9447
Epoch [36/10000], Batch [1/10], Loss: 1.0135
Epoch [36/10000], Batch [2/10], Loss: 0.9586
Epoch [36/10000], Batch [3/10], Loss: 0.9881
Epoch [36/10000], Batch [4/10], Loss: 0.9398
Epoch [36/10000], Batch [5/10], Loss: 0.9028
Epoch [36/10000], Batch [6/10], Loss: 0.9027
Epoch [36/10000], Batch [7/10], Loss: 1.0121
Epoch [36/10000], Batch [8/10], Loss: 0.9809
Epoch [36/10000], Batch [9/10], Loss: 0.9841
Epoch [36/10000], Batch [10/10], Loss: 0.9097
Epoch [37/10000], Batch [1/10], Loss: 0.9123
Epoch [37/10000], Batch [2/10], Loss: 0.9395
Epoch [37/10000], Batch [3/10], Loss: 0.9661
Epoch [37/10000], Batch [4/10], Loss: 0.9335
Epoch [37/10000], Batch [5/10], Loss: 0.8478
Epoch [37/10000], Batch [6/10], Loss: 0.9294
Epoch [37/10000], Batch [7/10], Loss: 1.0118
Epoch [37/10000], Batch [8/10], Loss: 0.9843
Epoch [37/10000], Batch [9/10], Loss: 0.9862
Epoch [37/10000], Batch [10/10], Loss: 0.9154
Epoch [38/10000], Batch [1/10], Loss: 0.9156
Epoch [38/10000], Batch [2/10], Loss: 0.9406
Epoch [38/10000], Batch [3/10], Loss: 0.9698
Epoch [38/10000], Batch [4/10], Loss: 0.9330
Epoch [38/10000], Batch [5/10], Loss: 0.8406
Epoch [38/10000], Batch [6/10], Loss: 0.9300
Epoch [38/10000], Batch [7/10], Loss: 1.0113
Epoch [38/10000], Batch [8/10], Loss: 0.9850
Epoch [38/10000], Batch [9/10], Loss: 0.9852
Epoch [38/10000], Batch [10/10], Loss: 0.9177
Epoch [39/10000], Batch [1/10], Loss: 0.9161
Epoch [39/10000], Batch [2/10], Loss: 0.9421
Epoch [39/10000], Batch [3/10], Loss: 0.9666
Epoch [39/10000], Batch [4/10], Loss: 0.9352
Epoch [39/10000], Batch [5/10], Loss: 0.8487
Epoch [39/10000], Batch [6/10], Loss: 0.9326
Epoch [39/10000], Batch [7/10], Loss: 1.0140
Epoch [39/10000], Batch [8/10], Loss: 0.9821
Epoch [39/10000], Batch [9/10], Loss: 0.9847
Epoch [39/10000], Batch [10/10], Loss: 0.9122
Epoch [40/10000], Batch [1/10], Loss: 0.9125
Epoch [40/10000], Batch [2/10], Loss: 0.9404
Epoch [40/10000], Batch [3/10], Loss: 0.9682
Epoch [40/10000], Batch [4/10], Loss: 0.9344
Epoch [40/10000], Batch [5/10], Loss: 0.8348
Epoch [40/10000], Batch [6/10], Loss: 0.9295
Epoch [40/10000], Batch [7/10], Loss: 1.0119
Epoch [40/10000], Batch [8/10], Loss: 0.9823
Epoch [40/10000], Batch [9/10], Loss: 0.9855
Epoch [40/10000], Batch [10/10], Loss: 0.9109
Epoch [41/10000], Batch [1/10], Loss: 0.9117
Epoch [41/10000], Batch [2/10], Loss: 0.9381
Epoch [41/10000], Batch [3/10], Loss: 0.9674
Epoch [41/10000], Batch [4/10], Loss: 0.9321
Epoch [41/10000], Batch [5/10], Loss: 0.8355
Epoch [41/10000], Batch [6/10], Loss: 0.9289
Epoch [41/10000], Batch [7/10], Loss: 1.0114
Epoch [41/10000], Batch [8/10], Loss: 0.9825
Epoch [41/10000], Batch [9/10], Loss: 0.9849
Epoch [41/10000], Batch [10/10], Loss: 0.9133
Epoch [42/10000], Batch [1/10], Loss: 0.9124
Epoch [42/10000], Batch [2/10], Loss: 0.9389
Epoch [42/10000], Batch [3/10], Loss: 0.9668
Epoch [42/10000], Batch [4/10], Loss: 0.9328
Epoch [42/10000], Batch [5/10], Loss: 0.8363
Epoch [42/10000], Batch [6/10], Loss: 0.9318
Received SIGINT signal. Exporting wandb log and terminating...
